DATASET_SIMPLEBAR
#In simple bar charts, each ID is associated to a single numeric value which is displayed as a bar outside the tree.
#lines starting with a hash are comments and ignored during parsing

H3_Bulk_Litter_17_scaffold_36523_2,180.3650911
H3_Bulk_Litter_17_scaffold_37710_1,66.23133907
H3_Bulk_Litter_17_scaffold_37777_1,164.6575661
H3_Bulk_Litter_17_scaffold_5594_2,53.60856481
H3_Bulk_Litter_17_scaffold_7340_2,94.37793847
H3_Bulk_Litter_17_scaffold_9836_3,71.9059157
H3_Rhizo_Litter_13_scaffold_9352_1,21.89347319
H3_Rhizo_Litter_14_scaffold_17962_1,187.6381364
H3_Rhizo_Litter_14_scaffold_23848_1,120.3744566
H3_Rhizo_Litter_14_scaffold_32135_1,44.81135133
H3_Rhizo_Litter_14_scaffold_8280_2,97.37629588
H3_Rhizo_Litter_15_scaffold_15376_1,946.5251928
H4_Bulk_46_scaffold_12351_1,740.286383
H4_Bulk_46_scaffold_13346_1,404.1260698
H4_Bulk_46_scaffold_17836_1,463.4221016
H4_Bulk_46_scaffold_28710_1,5483.168897
H4_Bulk_46_scaffold_30399_1,28.08276564
H4_Bulk_46_scaffold_30548_1,315.256703
H4_Bulk_46_scaffold_31750_1,1197.449997
H4_Bulk_47_scaffold_17434_1,508.6609832
H4_Bulk_47_scaffold_20823_1,212.9250343
H4_Bulk_48_scaffold_16237_1,189.6087723
H4_Bulk_Litter_22_scaffold_26863_1,415.4086084
H4_Bulk_Litter_22_scaffold_28879_1,77.05133846
H4_Bulk_Litter_22_scaffold_8323_1,89.12100289
H4_Bulk_Litter_23_scaffold_15666_1,41.2827069
H4_Bulk_Litter_23_scaffold_17398_1,319.7636225
H4_Bulk_Litter_24_scaffold_21087_1,9.036005774
H4_Bulk_Litter_24_scaffold_31739_1,217.4649723
H4_Bulk_Litter_24_scaffold_32072_1,18.67822077
H4_Bulk_Litter_24_scaffold_40367_1,123.9155877
H4_Bulk_Litter_24_scaffold_5774_1,456.2610816
H4_Rhizo_43_scaffold_18915_1,1811.038889
H4_Rhizo_43_scaffold_27540_1,369.7385885
H4_Rhizo_43_scaffold_9431_1,71.76910555
H4_Rhizo_45_scaffold_28277_1,21.66031314
H4_Rhizo_Litter_19_scaffold_11938_1,8.655766503
H4_Rhizo_Litter_19_scaffold_26943_1,123.3823166
